submission_id,error_category,found_by_expert,found_by_llm
S01,class_modeling,1,0
S01,hashcode_equals,0,1
S01,list_validation,1,1
S01,output_format,1,1
S01,responsibility_division,1,1
S01,string_comparison,0,1
S01,tests_missing,1,1
S02,array_usage,1,0
S02,class_modeling,1,1
S02,list_validation,1,0
S02,reference_usage,1,1
S02,responsibility_division,1,0
S02,tests_missing,1,0
S03,class_modeling,1,0
S03,list_validation,1,1
S03,output_format,1,1
S03,readability_docs,1,0
S03,responsibility_division,1,1
S03,tests_missing,1,1
S04,class_modeling,1,0
S04,list_validation,1,1
S04,output_format,1,1
S04,readability_docs,0,1
S04,tests_missing,1,0
S05,class_modeling,1,1
S05,list_validation,1,1
S05,readability_docs,1,0
S05,string_comparison,1,1
S05,tests_missing,1,1
S06,list_validation,1,1
S06,readability_docs,1,1
S06,tests_missing,1,0
S07,class_modeling,1,0
S07,hashcode_equals,1,0
S07,list_validation,0,1
S07,readability_docs,1,0
S07,tests_missing,1,0
S08,class_modeling,1,0
S08,readability_docs,1,1
S08,responsibility_division,1,1
S08,tests_missing,1,0
S09,class_modeling,1,0
S09,list_validation,1,1
S09,output_format,1,1
S09,tests_missing,1,0
S10,class_modeling,1,1
S10,list_validation,0,1
S10,tests_missing,1,0
S11,input_handling,0,1
S11,string_comparison,1,1
S11,tests_missing,1,0
S12,array_usage,1,1
S12,class_modeling,1,0
S12,list_validation,1,1
S12,output_format,1,1
S12,readability_docs,1,1
S12,responsibility_division,1,0
S12,tests_missing,1,1
S13,class_modeling,1,1
S13,list_validation,1,1
S13,output_format,0,1
S13,tests_missing,1,0
S14,class_modeling,1,0
S14,readability_docs,1,0
S14,responsibility_division,1,1
S14,tests_missing,1,1
S15,array_usage,1,0
S15,class_modeling,1,0
S15,hashcode_equals,0,1
S15,list_validation,1,1
S15,readability_docs,1,1
S15,tests_missing,1,1
S16,array_usage,0,1
S16,list_validation,0,1
S16,other,1,1
S16,readability_docs,1,1
S16,responsibility_division,1,0
S16,tests_missing,1,1
S17,array_usage,1,0
S17,hashcode_equals,0,1
S17,responsibility_division,1,0
S17,string_comparison,1,1
S17,tests_missing,1,1
S18,class_modeling,1,0
S18,hashcode_equals,1,0
S18,list_validation,1,1
S18,readability_docs,1,0
S18,string_comparison,0,1
S18,tests_missing,1,1
S19,list_validation,0,1
S19,tests_missing,1,1
S20,array_usage,1,1
S20,class_modeling,1,0
S20,input_handling,0,1
S20,list_validation,1,1
S20,output_format,1,1
S20,readability_docs,1,0
S20,responsibility_division,1,1
S20,tests_missing,1,1
S21,array_usage,1,1
S21,class_modeling,1,1
S21,list_validation,1,1
S21,output_format,0,1
S21,responsibility_division,1,1
S21,string_comparison,1,0
S21,tests_missing,1,1
S22,array_usage,1,0
S22,class_modeling,1,0
S22,list_validation,0,1
S22,output_format,0,1
S22,readability_docs,1,1
S22,responsibility_division,1,0
S22,tests_missing,1,1
S23,array_usage,0,1
S23,class_modeling,1,1
S23,hashcode_equals,1,1
S23,list_validation,0,1
S23,readability_docs,1,1
S23,reference_usage,1,0
S23,responsibility_division,1,0
S23,string_comparison,1,1
S23,tests_missing,1,1
S24,class_modeling,1,0
S24,hashcode_equals,0,1
S24,list_validation,1,1
S24,tests_missing,1,1
S25,array_usage,1,0
S25,list_validation,0,1
S25,tests_missing,1,1
S26,array_usage,1,0
S26,list_validation,1,1
S26,readability_docs,1,0
S26,tests_missing,1,0
S27,array_usage,1,1
S27,class_modeling,1,1
S27,list_validation,1,1
S27,other,0,1
S27,readability_docs,1,0
S27,responsibility_division,1,1
S27,string_comparison,0,1
S27,tests_missing,1,1
S28,array_usage,1,1
S28,list_validation,1,1
S28,responsibility_division,1,0
S28,tests_missing,1,0
S29,array_usage,1,0
S29,class_modeling,0,1
S29,list_validation,1,1
S29,output_format,1,0
S30,class_modeling,1,1
S30,list_validation,0,1
S30,readability_docs,1,0
S30,tests_missing,1,0
S31,class_modeling,1,1
S31,hashcode_equals,0,1
S31,list_validation,0,1
S31,other,0,1
S31,output_format,0,1
S31,readability_docs,1,1
S31,responsibility_division,1,1
S31,tests_missing,1,1
S32,class_modeling,1,0
S32,list_validation,1,0
S32,tests_missing,1,0
S33,class_modeling,1,0
S33,list_validation,1,1
S33,output_format,1,0
S33,tests_missing,1,1
S34,list_validation,0,1
S34,output_format,0,1
S34,tests_missing,1,0
S35,array_usage,0,1
S35,hashcode_equals,0,1
S35,list_validation,0,1
S35,other,1,1
S35,readability_docs,1,1
S35,tests_missing,1,1
S36,list_validation,1,1
S36,responsibility_division,1,0
S36,tests_missing,1,1
S37,class_modeling,1,0
S37,list_validation,1,1
S37,string_comparison,1,0
S37,tests_missing,1,1
S38,class_modeling,1,0
S38,hashcode_equals,0,1
S38,input_handling,1,0
S38,list_validation,0,1
S38,responsibility_division,1,0
S38,string_comparison,1,1
S39,array_usage,1,0
S39,class_modeling,1,0
S39,list_validation,1,1
S39,output_format,1,1
S39,readability_docs,1,0
S39,tests_missing,1,1
S40,list_validation,1,1
S41,class_modeling,1,1
S41,list_validation,1,1
S41,reference_usage,1,0
S41,responsibility_division,1,0
S41,tests_missing,1,0
S42,array_usage,0,1
S42,class_modeling,1,0
S42,hashcode_equals,1,0
S42,list_validation,0,1
S42,responsibility_division,1,1
S42,string_comparison,1,1
S42,tests_missing,1,1
S43,class_modeling,1,1
S43,list_validation,0,1
S43,readability_docs,1,1
S43,responsibility_division,1,1
S43,tests_missing,1,1
S44,array_usage,1,0
S44,class_modeling,1,1
S44,list_validation,0,1
S44,output_format,1,0
S44,readability_docs,1,1
S44,responsibility_division,0,1
S44,tests_missing,1,1
S45,class_modeling,1,1
S45,list_validation,0,1
S45,output_format,0,1
S45,tests_missing,1,0
S46,array_usage,1,1
S46,hashcode_equals,0,1
S46,list_validation,1,1
S46,other,0,1
S46,readability_docs,1,0
S46,tests_missing,1,1
S47,class_modeling,1,0
S47,readability_docs,1,1
S47,tests_missing,1,0
S48,array_usage,1,1
S48,class_modeling,1,1
S48,hashcode_equals,0,1
S48,list_validation,1,1
S48,output_format,1,1
S48,readability_docs,1,1
S48,responsibility_division,1,0
S48,string_comparison,0,1
S48,tests_missing,1,1
S49,class_modeling,1,0
S49,tests_missing,1,0
S50,array_usage,0,1
S50,class_modeling,1,0
S50,list_validation,0,1
S50,output_format,0,1
S50,string_comparison,1,0
S50,tests_missing,1,0
S51,class_modeling,1,1
S51,hashcode_equals,0,1
S51,output_format,1,0
S51,string_comparison,1,1
S51,tests_missing,1,1
S52,class_modeling,1,1
S52,list_validation,0,1
S52,output_format,0,1
S52,responsibility_division,1,1
S52,tests_missing,1,1
S53,array_usage,1,1
S53,list_validation,0,1
S53,readability_docs,1,1
S53,responsibility_division,1,0
S53,string_comparison,1,1
S53,tests_missing,1,1
S54,array_usage,0,1
S54,class_modeling,1,1
S54,list_validation,0,1
S54,readability_docs,0,1
S54,reference_usage,0,1
S54,responsibility_division,1,1
S54,tests_missing,1,1
S55,array_usage,1,1
S55,hashcode_equals,0,1
S55,string_comparison,1,1
S55,tests_missing,1,0
S56,hashcode_equals,1,1
S56,list_validation,1,1
S56,output_format,0,1
S56,readability_docs,1,1
S56,tests_missing,1,1
S57,array_usage,1,1
S57,list_validation,1,1
S57,responsibility_division,1,0
S57,tests_missing,1,1
S58,class_modeling,0,1
S58,list_validation,1,1
S58,output_format,1,1
S58,readability_docs,1,1
S58,responsibility_division,0,1
S58,tests_missing,1,1
S59,array_usage,1,1
S59,class_modeling,1,1
S59,list_validation,1,1
S59,output_format,0,1
S59,responsibility_division,1,1
S59,tests_missing,1,1
S60,class_modeling,1,0
S60,hashcode_equals,1,0
S60,list_validation,1,1
S60,string_comparison,1,1
S60,tests_missing,1,1
S61,hashcode_equals,0,1
S61,list_validation,1,1
S61,responsibility_division,1,0
S61,tests_missing,1,0
S62,array_usage,1,1
S62,hashcode_equals,1,1
S62,list_validation,1,1
S62,readability_docs,1,0
S62,responsibility_division,1,0
S62,tests_missing,1,0
S63,class_modeling,1,0
S63,hashcode_equals,1,0
S63,readability_docs,1,1
S63,responsibility_division,0,1
S63,tests_missing,1,1
S64,array_usage,1,1
S64,class_modeling,1,0
S64,list_validation,0,1
S64,output_format,1,1
S64,readability_docs,0,1
S64,tests_missing,1,1
S65,tests_missing,1,1
S66,class_modeling,1,1
S66,list_validation,1,1
S66,readability_docs,1,0
S66,responsibility_division,1,1
S66,string_comparison,0,1
S66,tests_missing,1,0
S67,class_modeling,1,1
S67,hashcode_equals,1,1
S67,tests_missing,1,0
S68,class_modeling,1,0
S68,hashcode_equals,1,0
S68,list_validation,0,1
S68,responsibility_division,0,1
S68,tests_missing,1,1
S69,array_usage,1,0
S69,class_modeling,1,0
S69,list_validation,1,1
S69,readability_docs,1,0
S69,responsibility_division,0,1
S69,tests_missing,1,1
S70,class_modeling,1,0
S70,tests_missing,1,0
S71,array_usage,1,1
S71,class_modeling,1,0
S71,list_validation,0,1
S71,responsibility_division,1,0
S72,class_modeling,1,0
S72,list_validation,1,1
S72,string_comparison,1,0
S72,tests_missing,1,1
S73,array_usage,1,1
S73,class_modeling,1,1
S73,list_validation,0,1
S73,output_format,1,0
S73,readability_docs,1,0
S73,reference_usage,1,1
S73,tests_missing,1,1
S74,hashcode_equals,1,1
S74,output_format,1,1
S74,readability_docs,1,1
S74,responsibility_division,1,1
S74,tests_missing,1,1
S75,class_modeling,1,0
S75,list_validation,1,0
S75,output_format,1,1
S75,readability_docs,1,0
S75,responsibility_division,1,0
S75,string_comparison,1,1
S76,output_format,1,0
S76,readability_docs,1,1
S76,responsibility_division,1,1
S76,tests_missing,1,1
S77,array_usage,1,0
S77,class_modeling,1,1
S77,hashcode_equals,0,1
S77,list_validation,1,1
S77,output_format,0,1
S77,readability_docs,1,1
S77,reference_usage,1,1
S77,string_comparison,1,0
S77,tests_missing,1,1
S78,array_usage,1,1
S78,class_modeling,1,0
S78,list_validation,1,1
S78,output_format,0,1
S78,tests_missing,0,1
S79,array_usage,1,1
S79,class_modeling,1,0
S79,hashcode_equals,1,0
S79,list_validation,1,1
S79,string_comparison,0,1
S79,tests_missing,1,1
S80,class_modeling,1,0
S80,list_validation,1,1
S80,output_format,0,1
S80,tests_missing,1,0
S81,class_modeling,1,0
S81,list_validation,1,1
S81,other,0,1
S81,tests_missing,1,1
S82,array_usage,1,1
S82,list_validation,1,1
S82,tests_missing,1,1
S83,class_modeling,1,0
S83,list_validation,1,1
S83,readability_docs,0,1
S83,reference_usage,1,0
S83,string_comparison,0,1
S83,tests_missing,1,1
S84,array_usage,1,1
S84,hashcode_equals,1,0
S84,list_validation,0,1
S84,output_format,0,1
S84,responsibility_division,0,1
S84,tests_missing,1,1
