submission_id,error_category,found_by_expert,found_by_llm
S01,array_usage,0,1
S01,class_modeling,1,1
S01,hashcode_equals,0,1
S01,input_handling,0,1
S01,list_validation,1,1
S01,output_format,0,1
S01,readability_docs,0,1
S01,reference_usage,0,1
S01,responsibility_division,1,1
S01,string_comparison,0,1
S01,tests_missing,1,1
S02,array_usage,1,1
S02,class_modeling,1,1
S02,hashcode_equals,0,1
S02,list_validation,1,1
S02,output_format,0,1
S02,readability_docs,0,1
S02,reference_usage,1,1
S02,responsibility_division,1,1
S02,tests_missing,1,1
S03,array_usage,0,1
S03,class_modeling,1,1
S03,list_validation,1,1
S03,output_format,1,1
S03,readability_docs,1,1
S03,responsibility_division,1,1
S03,tests_missing,1,1
S04,array_usage,1,0
S04,class_modeling,1,1
S04,input_handling,0,1
S04,list_validation,1,1
S04,readability_docs,0,1
S04,responsibility_division,0,1
S04,tests_missing,1,1
S05,class_modeling,1,1
S05,hashcode_equals,0,1
S05,list_validation,1,1
S05,output_format,0,1
S05,readability_docs,1,1
S05,string_comparison,1,1
S05,tests_missing,1,1
S06,class_modeling,0,1
S06,list_validation,1,1
S06,output_format,0,1
S06,readability_docs,1,1
S06,tests_missing,1,1
S07,array_usage,0,1
S07,class_modeling,1,1
S07,hashcode_equals,1,1
S07,list_validation,0,1
S07,other,0,1
S07,readability_docs,1,1
S07,tests_missing,1,1
S08,class_modeling,1,1
S08,list_validation,1,1
S08,output_format,0,1
S08,readability_docs,1,1
S08,responsibility_division,1,1
S08,tests_missing,1,1
S09,class_modeling,1,1
S09,hashcode_equals,0,1
S09,list_validation,1,1
S09,output_format,0,1
S09,readability_docs,0,1
S09,tests_missing,1,1
S10,array_usage,0,1
S10,class_modeling,1,1
S10,list_validation,0,1
S10,readability_docs,0,1
S10,tests_missing,1,1
S11,class_modeling,0,1
S11,hashcode_equals,0,1
S11,input_handling,0,1
S11,list_validation,0,1
S11,output_format,0,1
S11,readability_docs,0,1
S11,responsibility_division,0,1
S11,string_comparison,1,1
S11,tests_missing,1,1
S12,array_usage,1,1
S12,class_modeling,1,1
S12,list_validation,1,1
S12,output_format,0,1
S12,readability_docs,1,1
S12,responsibility_division,1,1
S12,tests_missing,1,1
S13,array_usage,0,1
S13,class_modeling,1,1
S13,list_validation,1,1
S13,output_format,0,1
S13,readability_docs,0,1
S13,responsibility_division,0,1
S13,tests_missing,1,1
S14,array_usage,0,1
S14,class_modeling,1,1
S14,list_validation,0,1
S14,output_format,1,1
S14,readability_docs,1,1
S14,responsibility_division,1,1
S14,tests_missing,1,1
S15,array_usage,0,1
S15,class_modeling,1,1
S15,hashcode_equals,0,1
S15,list_validation,1,1
S15,output_format,0,1
S15,readability_docs,1,1
S15,responsibility_division,0,1
S15,tests_missing,1,1
S16,array_usage,0,1
S16,class_modeling,1,1
S16,list_validation,1,1
S16,other,1,1
S16,readability_docs,1,1
S16,responsibility_division,1,1
S16,tests_missing,1,1
S17,array_usage,1,0
S17,hashcode_equals,0,1
S17,input_handling,0,1
S17,list_validation,1,1
S17,readability_docs,1,1
S17,responsibility_division,1,1
S17,string_comparison,1,1
S17,tests_missing,1,1
S18,array_usage,0,1
S18,class_modeling,1,1
S18,hashcode_equals,1,1
S18,list_validation,1,1
S18,output_format,0,1
S18,readability_docs,1,1
S18,reference_usage,0,1
S18,responsibility_division,0,1
S18,string_comparison,0,1
S18,tests_missing,1,1
S19,class_modeling,0,1
S19,list_validation,0,1
S19,output_format,0,1
S19,readability_docs,0,1
S19,responsibility_division,0,1
S19,tests_missing,1,1
S20,array_usage,1,1
S20,class_modeling,1,1
S20,list_validation,1,1
S20,other,1,0
S20,output_format,0,1
S20,readability_docs,0,1
S20,reference_usage,0,1
S20,responsibility_division,1,1
S20,tests_missing,1,1
S21,array_usage,1,1
S21,class_modeling,1,1
S21,hashcode_equals,0,1
S21,list_validation,1,1
S21,other,0,1
S21,output_format,0,1
S21,readability_docs,0,1
S21,responsibility_division,1,1
S21,string_comparison,1,1
S21,tests_missing,1,1
S22,array_usage,1,1
S22,class_modeling,1,1
S22,hashcode_equals,0,1
S22,list_validation,0,1
S22,readability_docs,1,1
S22,responsibility_division,1,1
S22,string_comparison,0,1
S22,tests_missing,1,1
S23,array_usage,0,1
S23,class_modeling,1,1
S23,list_validation,0,1
S23,other,0,1
S23,output_format,0,1
S23,readability_docs,1,1
S23,reference_usage,1,1
S23,responsibility_division,1,1
S23,string_comparison,1,1
S23,tests_missing,1,1
S24,class_modeling,1,1
S24,list_validation,1,1
S24,output_format,1,1
S24,readability_docs,0,1
S24,tests_missing,1,1
S25,array_usage,1,0
S25,class_modeling,0,1
S25,hashcode_equals,1,1
S25,input_handling,0,1
S25,list_validation,0,1
S25,readability_docs,0,1
S25,tests_missing,1,1
S26,array_usage,1,1
S26,class_modeling,0,1
S26,list_validation,1,1
S26,output_format,0,1
S26,readability_docs,1,1
S26,reference_usage,0,1
S26,responsibility_division,0,1
S26,tests_missing,1,1
S27,array_usage,0,1
S27,class_modeling,1,1
S27,list_validation,1,1
S27,readability_docs,1,1
S27,reference_usage,0,1
S27,responsibility_division,1,1
S27,tests_missing,1,1
S28,array_usage,1,1
S28,class_modeling,1,1
S28,list_validation,1,1
S28,output_format,0,1
S28,readability_docs,0,1
S28,responsibility_division,1,1
S28,tests_missing,1,1
S29,array_usage,1,1
S29,class_modeling,0,1
S29,list_validation,1,1
S29,other,0,1
S29,output_format,1,1
S29,readability_docs,0,1
S29,reference_usage,0,1
S29,responsibility_division,0,1
S29,tests_missing,0,1
S30,class_modeling,1,1
S30,list_validation,0,1
S30,output_format,0,1
S30,readability_docs,1,1
S30,responsibility_division,0,1
S30,tests_missing,1,1
S31,array_usage,0,1
S31,class_modeling,1,1
S31,hashcode_equals,0,1
S31,readability_docs,1,1
S31,reference_usage,0,1
S31,responsibility_division,1,1
S31,tests_missing,1,1
S32,class_modeling,1,1
S32,hashcode_equals,0,1
S32,list_validation,1,1
S32,other,0,1
S32,readability_docs,0,1
S32,reference_usage,0,1
S32,responsibility_division,0,1
S32,tests_missing,1,1
S33,array_usage,0,1
S33,class_modeling,1,1
S33,hashcode_equals,0,1
S33,list_validation,1,1
S33,output_format,1,1
S33,readability_docs,0,1
S33,responsibility_division,0,1
S33,tests_missing,1,1
S34,class_modeling,0,1
S34,list_validation,0,1
S34,output_format,0,1
S34,readability_docs,0,1
S34,responsibility_division,0,1
S34,tests_missing,1,1
S35,array_usage,0,1
