submission_id,role,condition,criterion_id,criterion_name,human_score,llm_score,absolute_delta,divergence_category,notes
S01,official_sample,llm,basic_functionality,Basic Functionality,8.0,7.5,0.5,,
S01,official_sample,llm,unit_tests,Unit Tests,0.0,0.0,0.0,,
S01,official_sample,llm,class_design,Class Design,7.0,8.5,1.5,,
S01,official_sample,llm,object_references,Object References and Composition,10.0,10.0,0.0,,
S01,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10.0,0.0,,
S01,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,8.5,0.5,,
S01,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,9.5,0.5,,
S02,official_sample,llm,basic_functionality,Basic Functionality,10.0,10,0.0,,
S02,official_sample,llm,unit_tests,Unit Tests,9.5,10,0.5,,
S02,official_sample,llm,class_design,Class Design,7.0,7,0.0,,
S02,official_sample,llm,object_references,Object References and Composition,3.0,6,3.0,,
S02,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S02,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,8,1.0,,
S02,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
S03,official_sample,llm,basic_functionality,Basic Functionality,8.5,8.5,0.0,,
S03,official_sample,llm,unit_tests,Unit Tests,6.0,9.0,3.0,,
S03,official_sample,llm,class_design,Class Design,7.0,10,3.0,,
S03,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S03,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,9.0,1.0,,
S03,official_sample,llm,separation_of_concerns,Separation of Concerns,7.0,10,3.0,,
S03,official_sample,llm,readability_and_documentation,Readability and Documentation,9.0,10,1.0,,
S04,official_sample,llm,basic_functionality,Basic Functionality,9.0,9.5,0.5,,
S04,official_sample,llm,unit_tests,Unit Tests,9.5,10,0.5,,
S04,official_sample,llm,class_design,Class Design,10.0,10,0.0,,
S04,official_sample,llm,object_references,Object References and Composition,10.0,10,0.0,,
S04,official_sample,llm,collections_and_arrays,Collections and Arrays,10.0,10,0.0,,
S04,official_sample,llm,separation_of_concerns,Separation of Concerns,9.0,10,1.0,,
S04,official_sample,llm,readability_and_documentation,Readability and Documentation,10.0,10,0.0,,
